experiment_id,dataset,split,model_name,commit,metric_name,metric_value,seed,B,epoch
zinc_regression_all_epocjs,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5764,42,NaN,26
zinc_regression_all_epocjs,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.6167,42,NaN,27
zinc_regression_all_epocjs,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.6413,42,NaN,27
zinc_regression_all_epocjs,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.6077,42,NaN,28
zinc_regression_all_epocjs,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.6168,42,NaN,28
zinc_regression_all_epocjs,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5183,42,NaN,29
zinc_regression_all_epocjs,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5549,42,NaN,29
zinc_regression_all_epocjs,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5376,42,NaN,30
zinc_regression_all_epocjs,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5661,42,NaN,30
zinc_regression_all_epocjs,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5963,42,NaN,31
zinc_regression_all_epocjs,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.6308,42,NaN,31
zinc_regression_all_epocjs,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5021,42,NaN,32
zinc_regression_all_epocjs,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5346,42,NaN,32
zinc_regression_all_epocjs,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5028,42,NaN,33
zinc_regression_all_epocjs,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5355,42,NaN,33
zinc_regression_all_epocjs,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5165,42,NaN,34
zinc_regression_all_epocjs,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5540,42,NaN,34
zinc_regression_all_epocjs,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.4966,42,NaN,35
zinc_regression_all_epocjs,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5252,42,NaN,35
zinc_regression_all_epocjs,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5899,42,NaN,36
zinc_regression_all_epocjs,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.6263,42,NaN,36
zinc_regression_all_epocjs,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5204,42,NaN,37
zinc_regression_all_epocjs,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5438,42,NaN,37
zinc_regression_all_epocjs,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5382,42,NaN,38
zinc_regression_all_epocjs,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5701,42,NaN,38
zinc_regression_all_epocjs,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5120,42,NaN,39
zinc_regression_all_epocjs,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5505,42,NaN,39
zinc_regression_all_epocjs,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.4973,42,NaN,40
zinc_regression_all_epocjs,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5243,42,NaN,40
zinc_regression_all_epocjs,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5090,42,NaN,41
zinc_regression_all_epocjs,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5441,42,NaN,41
zinc_regression_all_epocjs,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5017,42,NaN,42
zinc_regression_all_epocjs,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5369,42,NaN,42
zinc_regression_all_epocjs,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5445,42,NaN,43
zinc_regression_all_epocjs,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5831,42,NaN,43
zinc_regression_all_epocjs,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.4988,42,NaN,44
zinc_regression_all_epocjs,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5267,42,NaN,44
zinc_regression_all_epocjs,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5039,42,NaN,45
zinc_regression_all_epocjs,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5270,42,NaN,45
zinc_regression_all_epocjs,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.4944,42,NaN,46
