experiment,seed,best_epoch,best_val_loss,test_loss,test_acc,test_clf_auroc,test_expl_auroc,test_jaccard
vanilla_gcn_sum,0,42,0.00023747973099025844,0.00013816672369203943,1.0,1.0,NaN,NaN
vanilla_gcn_sum,1,25,0.00027481332495855117,0.00022593519068323076,1.0,1.0,NaN,NaN
vanilla_gcn_sum,2,21,0.0006385458639667077,0.00048487707797903565,1.0,1.0,NaN,NaN
bcos_gcn_sum,0,20,0.00010562623631608125,0.00009246088438279306,1.0,1.0,0.9812450818688523,0.8870303030303031
bcos_gcn_sum,1,27,0.00004216811519757546,0.00005226049379416509,1.0,1.0,0.9919381791429799,0.9487474747474749
bcos_gcn_sum,2,25,0.00012454085572749082,0.0000393392921735843,1.0,1.0,0.9993005435683894,0.9855757575757577
