experiment,seed,best_epoch,best_val_loss,test_loss,test_acc,test_clf_auroc,test_expl_auroc,test_jaccard,row_type,test_loss_mean,test_loss_std,test_acc_mean,test_acc_std,test_clf_auroc_mean,test_clf_auroc_std,test_expl_auroc_mean,test_expl_auroc_std,test_jaccard_mean,test_jaccard_std
vanilla_gcn_sum,0,42,0.00023747973099025844,0.00013816672369203943,1.0,1.0,NaN,NaN,seed,,,,,,,,,,
vanilla_gcn_sum,1,25,0.00027481332495855117,0.00022593519068323076,1.0,1.0,NaN,NaN,seed,,,,,,,,,,
vanilla_gcn_sum,2,21,0.0006385458639667077,0.00048487707797903565,1.0,1.0,NaN,NaN,seed,,,,,,,,,,
bcos_gcn_sum,0,20,0.00010562623631608125,0.00009246088438279306,1.0,1.0,0.9812450818688523,0.8870303030303031,seed,,,,,,,,,,
bcos_gcn_sum,1,27,0.00004216811519757546,0.00005226049379416509,1.0,1.0,0.9919381791429799,0.9487474747474749,seed,,,,,,,,,,
bcos_gcn_sum,2,25,0.00012454085572749082,0.0000393392921735843,1.0,1.0,0.9993005435683894,0.9855757575757577,seed,,,,,,,,,,
vanilla_gcn_sum,,,,,,,,,summary,0.0002829929974514353,0.00018026012434077575,1.0,0.0,1.0,0.0,NaN,NaN,NaN,NaN
bcos_gcn_sum,,,,,,,,,summary,0.00006135355678351414,0.00002770358705306173,1.0,0.0,1.0,0.0,0.9908279348600738,0.009078788799815581,0.9404511784511785,0.04979380535839293
