experiment,seed,best_epoch,best_val_loss,test_loss,test_acc,test_clf_auroc,test_expl_auroc,test_jaccard
vanilla_gcn_add_readout_then_agg,0,73,0.00015963883488439022,0.000153862597362604,1.0,1.0,NaN,NaN
vanilla_gcn_add_readout_then_agg,1,101,0.00024143472081050276,0.002636279141297564,1.0,1.0,NaN,NaN
vanilla_gcn_add_readout_then_agg,2,56,0.00009276694676373154,0.0004006159462733194,1.0,1.0,NaN,NaN
bcos_gcn_add_readout_then_agg,0,58,0.00012214876333018764,0.00014827932114712893,1.0,1.0,0.9953740430836047,0.8966666666666666
bcos_gcn_add_readout_then_agg,1,41,0.00010867763659916819,0.0001563930530392099,1.0,1.0,0.8989608424872939,0.7468055555555556
bcos_gcn_add_readout_then_agg,2,51,0.00003413177008042112,0.0002580822486015677,1.0,1.0,0.9580916110459217,0.8035714285714286
