experiment,seed,best_epoch,best_val_loss,test_loss,test_acc,test_clf_auroc,test_expl_auroc,test_jaccard
vanilla_gine_mean,0,43,0.00010571236496770053,0.0000826477554316322,1.0,1.0,NaN,NaN
vanilla_gine_mean,1,27,0.000029380661674276154,0.0033512623311900015,0.9988888888888889,1.0,NaN,NaN
vanilla_gine_mean,2,19,0.000059748434591635266,0.00006805626106344991,1.0,1.0,NaN,NaN
bcos_gine_mean_readout_then_agg,0,47,0.00016866852799389144,0.00012895840782827387,1.0,1.0,0.9855930653834672,0.8897737817737819
bcos_gine_mean_readout_then_agg,1,85,0.000044089650397254084,0.0022219500587582135,0.9988888888888889,1.0,0.9245348262372143,0.8016312657930305
bcos_gine_mean_readout_then_agg,2,24,0.002158337029471857,0.0006484273063122398,1.0,1.0,0.9969305265086549,0.9511946941946943
bcos_gine_mean_agg_then_readout,0,50,0.000050742986939068546,0.0017142042318017857,0.9988888888888889,1.0,0.9954362185914122,0.922984126984127
bcos_gine_mean_agg_then_readout,1,24,0.00007077507796951953,0.0002104043463785072,1.0,1.0,0.9535411704940515,0.8375288045288046
bcos_gine_mean_agg_then_readout,2,28,0.0016806276823882014,0.00013439504390892884,1.0,1.0,0.9943274817935487,0.9216363636363637
