experiment,seed,best_epoch,best_val_acc,test_loss,test_acc,test_clf_auroc,row_type,test_loss_mean,test_loss_std,test_acc_mean,test_acc_std,test_clf_auroc_mean,test_clf_auroc_std
vanilla_gin_mean,42,110,0.7524271844660194,0.6116721485072969,0.7104622871046229,0.796755860762491,seed,,,,,,
vanilla_gin_mean,123,67,0.7742718446601942,0.6455121347793987,0.7396593673965937,0.7924224484963296,seed,,,,,,
vanilla_gin_mean,999,137,0.7888349514563107,0.5161119257156577,0.781021897810219,0.8380771963059436,seed,,,,,,
bcos_gin_mean_readout_then_agg,42,66,0.720873786407767,0.6009936503830328,0.6593673965936739,0.7517404688609992,seed,,,,,,
bcos_gin_mean_readout_then_agg,123,78,0.720873786407767,0.6004084537209096,0.683698296836983,0.7533743784039784,seed,,,,,,
bcos_gin_mean_readout_then_agg,999,109,0.7330097087378641,0.5849470881940094,0.7299270072992701,0.7805825242718447,seed,,,,,,
bcos_gin_mean_agg_then_readout,42,72,0.7087378640776699,0.5897902016802136,0.6618004866180048,0.744068197963533,seed,,,,,,
bcos_gin_mean_agg_then_readout,123,44,0.7305825242718447,0.5849105614235222,0.6958637469586375,0.7560502012787118,seed,,,,,,
bcos_gin_mean_agg_then_readout,999,15,0.6820388349514563,0.6228942095218204,0.6399026763990268,0.7079564290788539,seed,,,,,,
vanilla_gin_mean,,,,,,,summary,0.5910987363341177,0.06710851281894578,0.7437145174371452,0.03545416544102904,0.8090851685215882,0.02520114822292351
bcos_gin_mean_readout_then_agg,,,,,,,summary,0.595449730765984,0.009100260409973348,0.6909975669099757,0.03584165416704681,0.7618991238456075,0.016200910582865467
bcos_gin_mean_agg_then_readout,,,,,,,summary,0.5991983242085187,0.020665767777765746,0.6658556366585563,0.028200062693777332,0.7360249427736996,0.025035438814599242
