experiment_id,dataset,split,model_name,commit,metric_name,metric_value,seed,B,epoch
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5425,42,NaN,32
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5028,42,NaN,33
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5410,42,NaN,33
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5217,42,NaN,34
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5614,42,NaN,34
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.4950,42,NaN,35
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5323,42,NaN,35
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.6052,42,NaN,36
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.6387,42,NaN,36
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5137,42,NaN,37
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5384,42,NaN,37
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5342,42,NaN,38
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5653,42,NaN,38
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5053,42,NaN,39
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5392,42,NaN,39
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.4970,42,NaN,40
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5290,42,NaN,40
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5798,42,NaN,41
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.6180,42,NaN,41
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5005,42,NaN,42
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5304,42,NaN,42
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5499,42,NaN,43
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5869,42,NaN,43
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5265,42,NaN,44
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5445,42,NaN,44
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.4886,42,NaN,45
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5238,42,NaN,45
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.4916,42,NaN,46
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5293,42,NaN,46
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5276,42,NaN,47
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5661,42,NaN,47
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5061,42,NaN,48
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5425,42,NaN,48
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.4834,42,NaN,49
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5182,42,NaN,49
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5009,42,NaN,50
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5293,42,NaN,50
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.4886,42,NaN,51
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5197,42,NaN,51
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.4953,42,NaN,52
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5269,42,NaN,52
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.4970,42,NaN,53
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5235,42,NaN,53
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5114,42,NaN,54
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5473,42,NaN,54
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.4862,42,NaN,55
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5176,42,NaN,55
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.4790,42,NaN,56
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5091,42,NaN,56
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.4908,42,NaN,57
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5274,42,NaN,57
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.4856,42,NaN,58
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5199,42,NaN,58
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.4898,42,NaN,59
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5251,42,NaN,59
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.4972,42,NaN,60
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5346,42,NaN,60
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.4958,42,NaN,61
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5304,42,NaN,61
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.4802,42,NaN,62
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5119,42,NaN,62
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.4767,42,NaN,63
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5178,42,NaN,63
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.4886,42,NaN,64
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5201,42,NaN,64
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5007,42,NaN,65
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5345,42,NaN,65
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5036,42,NaN,66
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5294,42,NaN,66
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5061,42,NaN,67
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5326,42,NaN,67
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.4874,42,NaN,68
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5269,42,NaN,68
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.4767,42,NaN,69
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5212,42,NaN,69
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5450,42,NaN,70
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5817,42,NaN,70
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.4720,42,NaN,71
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5041,42,NaN,71
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.4757,42,NaN,72
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5096,42,NaN,72
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.6167,42,NaN,73
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.6304,42,NaN,73
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.4869,42,NaN,74
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5268,42,NaN,74
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.4729,42,NaN,75
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5003,42,NaN,75
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.4847,42,NaN,76
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5200,42,NaN,76
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.4814,42,NaN,77
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5117,42,NaN,77
